Name	Cancel	Damage	Heat Gain	P1	P2	Guard	Level	Attribute	Startup	Active	Recovery	Frame Adv	Counter Hit	Untech	Hitbox	
A Sanctus Decus	R	600	216	70	70*	all	29	HB	10	4	30	-9	31	35	Click!	
B Sanctus Decus	R	650	234	70	70*	all	29	HBP	17	4	26	-5	24	45	Click!	
C Sanctus Decus	R	700	252	70	70*	all	29	HB	19	4	26	-5	27	45	Click!	
D Sanctus Decus	R	750 (850)	270 (306)	80	89 (92)*	all	3	HB	14	4	20	-7	27	60	Click!	
A Sanctus Decus (charged)	R	600	216	70	70*	all	29	HB	40	4	30	-9	61	35	Click!	
B Sanctus Decus (charged)	R	650	234	70	70*	all	29	HBP	43	4	22	-5	50	45	Click!	
C Sanctus Decus (charged)	R	700	252	70	70*	all	29	HB	45	4	26	-5	53	45	Click!	
D Sanctus Decus (charged)	R	750 (850)	270 (306)	80	94 (92)*	unblockable	5	HB	39	4	20	-	52	70	Click!	
A Sanctus Decus (followup)	R	600	216	70	55*	all	4	HB	10	4	30	-9	19	31	Click!	
B Sanctus Decus (followup)	R	650	234	70	55*	all	29	HB	17	4	26	-5	24	45	Click!	
C Sanctus Decus (followup)	R	700	252	70	55	all	29	HB	19	4	26	-5	27	45	Click!	
D Sanctus Decus (followup)	R	750 (850)	270 (306)	80	89 (92)*	all	3	HB	14	3	20	-7	27	60	Click!	
A Sanctus Decus (charged followup)	R	600	216	70	55*	all	29	HB	40	4	30	-9	61	35	Click!	
B Sanctus Decus (charge followup)	R	650	234	70	55*	all	29	HB	43	4	22	-5	50	45	Click!	
C Sanctus Decus (charge followup)	R	700	252	70	55*	all	29	HB	45	4	26	-5	53	45	Click!	
D Sanctus Decus (charged followup)	R	750 (850)	270 (306)	80	94 (92)*	99	99	HB	39	4	20	-	52	70	Click!	
A Benedictus Rex	R	600	216	70	74	all	29	HBFP	10	7	39	-13	40	40	Click!	
B Benedictus Rex	R	700	252	70	74	HL	29	HBFP	10	7	45	-18	46	40	Click!	
C Benedictus Rex	R	800	288	70	84	HL	29	HBFP	10	8	60	-17	50	52	Click!	
D Benedictus Rex	R	430x3 (522x3)	169x3 (187x3)	70	92(once) (94(once))*	HL	29	HBF	10	9	47	-9	43	40	Click!	
A Aequum Eleison	R	600	216	60	85	all	3	H	13	3	9	-	25	20	Click!	
B Aequum Eleison	R	650	234	60	85	all	3	H	21	5	12	-	33	20	Click!	
C Aequum Eleison	R	700	252	100	85	all	3	H	21	5	12	-	33	20	Click!	
D Aequum Eleison	R	"750, 300 (850, 300)"	"270, 72 (306, 108)"	"100, 90"	"92, 90 (94, 90)*"	all	4	"H, HBP"	17	9	67	-	till landing	"60, 20"	Click!	
A Aequum Eleison (followup)	R	600	216	60	85	all	3	H	13	3	9	-	25	20	Click!	
B Aequum Eleison (followup)	R	400	144	60	85	all	3	H	21	5	12	-	33	20	Click!	
C Aequum Eleison (followup)	R	450	162	100	85	all	3	H	21	5	12	-	33	20	Click!	
D Aequum Eleison (followup)	R	"750, 300 (850, 300)"	"270, 72 (306, 108)"	"100, 90"	"92, 90 (94, 90)*"	all	29	"H, HBP"	17	9	67	-	till landing	"60, 20"	Click!	
A Lux Aeterna	R	700	252	100	85	all	4	H	17	7	21	-	during move	22	Click!	
B Lux Aeterna	R	750	270	100	85	all	4	H	15	7	21	-	during move	19	Click!	
C Lux Aeterna	R	800	288	100	85	all	4	H	15	7	21	-	during move	20	Click!	
D Lux Aeterna	R	850 (950)	306 (342)	90	92 (94)*	all	4	H	9	7	21	-	during move	70	Click!	
A Lux Aeterna (followup)	R	300	108	100	85	all	4	H	9	7	21	-	during move	25	Click!	
B Lux Aeterna (followup)	R	300	108	100	85	all	4	H	9	7	21	-	during move	25	Click!	
C Lux Aeterna (followup)	R	300	108	100	85	all	4	H	9	7	21	-	during move	25	Click!	
D Lux Aeterna (followup)	R	850 (950)	306 (342)	90	92 (94)*	all	4	H	9	7	21	-	during move	70	Click!	
Super
C Confutatis Maledictis	R*	"300, 2600"	0	100	92	all	4	HBP	9	15	26	-22	23	"40, 50"	Click!	
D Confutatis Maledictis	R	300xN*	0	100	92	all	4	HBP	5	15	26	-22	19	"40, 50"	Click!	
Macto Maledictis	-	-	-	-	-	-	-	-	0	0	7	3	during move	-	Click!	
Requiem Aeternam	-	death	0	-	-	-	-	H	12	10	24	-20	during move	-	Click!	
